Original Url,Title 1,Meta Description 1,H1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/47438/name-on-rice/s-mart,"S-Mart - ""Name on Rice""",Television & Cinema Name on Rice for S-Mart by MullenLowe Lintas Group,"S-Mart - ""Name on Rice""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10124/indian-restaurant/ninemsn,"Ninemsn - ""Indian Restaurant""",Television Indian Restaurant for Ninemsn by Havas Partnership,"Ninemsn - ""Indian Restaurant""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10901/scooty-safe/tvs-scooty,"TVS Scooty - ""Scooty Safe""",Newspaper Scooty Safe for TVS Scooty by Ogilvy Bangalore,"TVS Scooty - ""Scooty Safe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10902/scooty-shocks/tvs-scooty,"TVS Scooty - ""Scooty Shocks""",Newspaper Scooty Shocks for TVS Scooty by Ogilvy Bangalore,"TVS Scooty - ""Scooty Shocks""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10903/scooty-space/tvs-scooty,"TVS Scooty - ""Scooty Space""",Newspaper Scooty Space for TVS Scooty by Ogilvy Bangalore,"TVS Scooty - ""Scooty Space""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11224/for-enhaced-vigour-vitality/onergy-ceiling,"Onergy.Ceiling - ""For Enhaced Vigour & Vitality""",Outdoor/Out of Home For Enhaced Vigour & Vitality for Onergy.Ceiling by SSC&B,"Onergy.Ceiling - ""For Enhaced Vigour & Vitality""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11438/tiger-bones-dont-give-you-a-bigger-boner/tiger-action-network,"Tiger Action Network - ""Tiger Bones Don't Give You a Bigger Boner""",Print Tiger Bones Don't Give You a Bigger Boner for Tiger Action Network by Concept Communication Ltd,"Tiger Action Network - ""Tiger Bones Don't Give You a Bigger Boner""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11477/bar-code/strand-book-store,"Strand Book Store - ""Bar Code""",Print Bar Code for Strand Book Store by SSC&B,"Strand Book Store - ""Bar Code""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11479/bar-code-open-book/strand-book-stall,"Strand Book Stall - ""Bar Code -- Open Book""",Print Bar Code -- Open Book for Strand Book Stall by SSC&B,"Strand Book Stall - ""Bar Code -- Open Book""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11662/dont-drink-drive/society-for-alcohol-related-social-policy-init,"Society for Alcohol Related Social Policy Init. - ""Don't Drink & Drive""",Print Don't Drink & Drive for Society for Alcohol Related Social Policy Init. by SSC&B,"Society for Alcohol Related Social Policy Init. - ""Don't Drink & Drive""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11807/vagina/child-abuse,"Child Abuse - ""Vagina""",Newspaper Vagina for Child Abuse by Ogilvy India,"Child Abuse - ""Vagina""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11809/babysitter/child-abuse,"Child Abuse - ""Babysitter""",Newspaper Babysitter for Child Abuse by Ogilvy India,"Child Abuse - ""Babysitter""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11811/father/child-abuse,"Child Abuse - ""Father""",Newspaper Father for Child Abuse by Ogilvy India,"Child Abuse - ""Father""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12276/elderly-psa/the-indian-express,"The Indian Express - ""Elderly - PSA""",Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,"The Indian Express - ""Elderly - PSA""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12277/elderly-psa/the-indian-express,"The Indian Express - ""Elderly - PSA""",Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,"The Indian Express - ""Elderly - PSA""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12278/elderly-psa/the-indian-express,"The Indian Express - ""Elderly - PSA""",Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,"The Indian Express - ""Elderly - PSA""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12279/elderly-psa/the-indian-express,"The Indian Express - ""Elderly - PSA""",Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,"The Indian Express - ""Elderly - PSA""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12280/elderly-psa/the-indian-express,"The Indian Express - ""Elderly - PSA""",Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,"The Indian Express - ""Elderly - PSA""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12651895/che/luxor,"Luxor - ""Che""",Newspaper Che for Luxor by Leo Burnett India,"Luxor - ""Che""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12651897/charlie/luxor,"Luxor - ""Charlie""",Newspaper Charlie for Luxor by Leo Burnett India,"Luxor - ""Charlie""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12651899/adolf/luxor,"Luxor - ""Adolf""",Newspaper Adolf for Luxor by Leo Burnett India,"Luxor - ""Adolf""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652653/pre-meditated-murders-every-day/stop-female-foeticide,"Stop Female Foeticide - ""... pre-meditated murders, every day""","Newspaper ... pre-meditated murders, every day for Stop Female Foeticide by Mode Advertising & Marketing Pvt. Ltd.","Stop Female Foeticide - ""... pre-meditated murders, every day""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653007/traffic/nike-cricket,"Nike Cricket - ""Traffic""",Television Traffic for Nike Cricket by  Wunderman Thompson South Asia,"Nike Cricket - ""Traffic""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653028/twins/reynolds-wrap,"Reynolds Wrap - ""Twins""",Print Twins for Reynolds Wrap by  Wunderman Thompson South Asia,"Reynolds Wrap - ""Twins""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653062/debate-1/lifetime-prepaid-card,"Lifetime Prepaid Card - ""Debate 1""",Print Debate 1 for Lifetime Prepaid Card by Ogilvy India,"Lifetime Prepaid Card - ""Debate 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653064/debate-2/lifetime-prepaid-card,"Lifetime Prepaid Card - ""Debate 2""",Print Debate 2 for Lifetime Prepaid Card by Ogilvy India,"Lifetime Prepaid Card - ""Debate 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653065/debate-3/lifetime-prepaid-card,"Lifetime Prepaid Card - ""Debate 3""",Print Debate 3 for Lifetime Prepaid Card by Ogilvy India,"Lifetime Prepaid Card - ""Debate 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653141/afterlife/apollo-hospitals,"Apollo Hospitals - ""Afterlife""",Print Afterlife for Apollo Hospitals by Ogilvy Bangalore,"Apollo Hospitals - ""Afterlife""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653142/reincarnation/apollo-hospitals,"Apollo Hospitals - ""Reincarnation""",Print Reincarnation for Apollo Hospitals by Ogilvy Bangalore,"Apollo Hospitals - ""Reincarnation""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653143/spirits/apollo-hospitals,"Apollo Hospitals - ""Spirits""",Print Spirits for Apollo Hospitals by Ogilvy Bangalore,"Apollo Hospitals - ""Spirits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653373/help-me-read-this/children-of-the-world,"Children of the World - ""Help me read this""",Television & Cinema Help me read this for Children of the World by J. Walter Thompson Delhi,"Children of the World - ""Help me read this""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653437/help-me-read-this-2/children-of-the-world,"Children of the World - ""Help me read this 2""",Case Study Help me read this 2 for Children of the World by J. Walter Thompson Delhi,"Children of the World - ""Help me read this 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653557/rewind-french/orange-tv,"Orange TV - ""Rewind (French)""","Television Rewind (French) for Orange TV by Publicis Conseil - In a city teeming with life, somewhere in India, a girl stands crying at a bus stop. A taxi...","Orange TV - ""Rewind (French)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653567/rewind/orange-tv,"Orange TV - ""Rewind""","Television Rewind for Orange TV by Publicis Conseil - In a city teeming with life, somewhere in India, a girl stands crying at a bus stop. A taxi driver no...","Orange TV - ""Rewind""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653964/gas/neo-sports,"Neo Sports - ""Gas""",Television & Cinema Gas for Neo Sports by Ogilvy India - Get used to tension. India vs Pakistan,"Neo Sports - ""Gas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654316/wisdomtree-india-etf/wisdomtree,"WisdomTree - ""WisdomTree India ETF""",Television WisdomTree India ETF for WisdomTree by Bandujo,"WisdomTree - ""WisdomTree India ETF""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654341/lead-india/the-times-of-india,"The Times Of India - ""Lead India""",Case Study Lead India for The Times Of India by  Wunderman Thompson South Asia,"The Times Of India - ""Lead India""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654351/stretch-festival/governement-of-puducherry,"Governement Of Puducherry - ""Stretch Festival""",Case Study Stretch Festival for Governement Of Puducherry by Opinion e Imagen,"Governement Of Puducherry - ""Stretch Festival""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654745/building/anando,"Anando - ""Building""",Outdoor/Out of Home Building for Anando by McCann Mumbai,"Anando - ""Building""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654891/om-jai-jagdish/cycle-agarbatti,"Cycle Agarbatti - ""Om Jai Jagdish""",Radio Om Jai Jagdish for Cycle Agarbatti by Mudra Communications Pvt. Ltd.,"Cycle Agarbatti - ""Om Jai Jagdish""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654892/jai-dev/cycle-agarbatti,"Cycle Agarbatti - ""Jai Dev""",Radio Jai Dev for Cycle Agarbatti by Mudra Communications Pvt. Ltd.,"Cycle Agarbatti - ""Jai Dev""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654939/bach-gavotte/calcutta-school-of-music,"Calcutta School Of Music - ""Bach Gavotte""",Case Study Bach Gavotte for Calcutta School Of Music by Ogilvy & Mather,"Calcutta School Of Music - ""Bach Gavotte""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654946/thin-cover/hp-notebook-pc,"HP Notebook PC - ""Thin Cover""",Case Study Thin Cover for HP Notebook PC by Publicis India,"HP Notebook PC - ""Thin Cover""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654955/family-name/aadhar,"AADHAR - ""Family Name""",Print Family Name for AADHAR by Contract Advertising,"AADHAR - ""Family Name""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654988/eiffel-tower/cox-kings,"Cox & Kings - ""Eiffel Tower""",Print Eiffel Tower for Cox & Kings by Saatchi & Saatchi,"Cox & Kings - ""Eiffel Tower""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654989/london-bridge/cox-kings,"Cox & Kings - ""London Bridge""",Print London Bridge for Cox & Kings by Saatchi & Saatchi,"Cox & Kings - ""London Bridge""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654990/statue-of-liberty/cox-kings,"Cox & Kings - ""Statue Of Liberty""",Print Statue Of Liberty for Cox & Kings by Saatchi & Saatchi,"Cox & Kings - ""Statue Of Liberty""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655045/blue/luxor,"Luxor - ""Blue""",Print Blue for Luxor by Leo Burnett India,"Luxor - ""Blue""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655046/pink/luxor,"Luxor - ""Pink""",Print Pink for Luxor by Leo Burnett India,"Luxor - ""Pink""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655053/taj-mahal/incredible-india,"Incredible India - ""Taj Mahal""",Print Taj Mahal for Incredible India by Grey Group India,"Incredible India - ""Taj Mahal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655072/ice-cream/tide,"Tide - ""Ice Cream""",Print Ice Cream for Tide by Leo Burnett India,"Tide - ""Ice Cream""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655073/ketchup/tide,"Tide - ""Ketchup""",Print Ketchup for Tide by Leo Burnett India,"Tide - ""Ketchup""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655074/lipstick/tide,"Tide - ""Lipstick""",Print Lipstick for Tide by Leo Burnett India,"Tide - ""Lipstick""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655090/india/shangri-la,"Shangri-La - ""India""",Print India for Shangri-La by Agência 3 - A trip can change your life,"Shangri-La - ""India""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655199/highlight-whats-important/luxor,"Luxor - ""Highlight What's Important""",Digital Highlight What's Important for Luxor by Leo Burnett India,"Luxor - ""Highlight What's Important""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655200/pop-up/luxor,"Luxor - ""Pop Up""",Digital Pop Up for Luxor by Leo Burnett India,"Luxor - ""Pop Up""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655235/burden/care-foundation,"Care Foundation - ""Burden""",Case Study Burden for Care Foundation by  Wunderman Thompson South Asia - Your contribution can end child labour,"Care Foundation - ""Burden""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655247/50-cent/mw-com-india,"Mw.Com India - ""50 Cent""","Packaging, Branding & Design 50 Cent for Mw.Com India by  Wunderman Thompson South Asia","Mw.Com India - ""50 Cent""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655248/bob-marley/mw-com-india,"Mw.Com India - ""Bob Marley""","Packaging, Branding & Design Bob Marley for Mw.Com India by  Wunderman Thompson South Asia","Mw.Com India - ""Bob Marley""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655249/jim-morrison/mw-com-india,"Mw.Com India - ""Jim Morrison""","Packaging, Branding & Design Jim Morrison for Mw.Com India by  Wunderman Thompson South Asia","Mw.Com India - ""Jim Morrison""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655250/madonna/mw-com-india,"Mw.Com India - ""Madonna""","Packaging, Branding & Design Madonna for Mw.Com India by  Wunderman Thompson South Asia","Mw.Com India - ""Madonna""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655810/teens/olympic-org,"olympic.org - ""Teens""","Television Teens for olympic.org by Sra. Rushmore - The film features young athletes from across the world, including Armenia, Belgium, Brazil, China, Egyp...","olympic.org - ""Teens""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12655963/rotate/citibank,"CitiBank - ""Rotate""",Television Rotate for CitiBank by AMBIENCE PUBLICIS ,"CitiBank - ""Rotate""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12656065/ghost/hathi-cement,"Hathi Cement - ""Ghost""",Television Ghost for Hathi Cement,"Hathi Cement - ""Ghost""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12656111/castaway/lenovo,"Lenovo - ""Castaway""",Television Castaway for Lenovo by Ogilvy India - lenovo.com,"Lenovo - ""Castaway""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12656135/acb-money-envelope/acb,"ACB - ""ACB: Money Envelope""",Magazine ACB: Money Envelope for ACB by RK Swamy BBDO,"ACB - ""ACB: Money Envelope""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657081/drain-1/harpic,"Harpic - ""Drain 1""",Print Drain 1 for Harpic by Havas India,"Harpic - ""Drain 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657082/drain-2/harpic,"Harpic - ""Drain 2""",Print Drain 2 for Harpic by Havas India,"Harpic - ""Drain 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657083/drain-3/harpic,"Harpic - ""Drain 3""",Print Drain 3 for Harpic by Havas India,"Harpic - ""Drain 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657304/lamp-shade/mihira,"Mihira - ""Lamp Shade""",Print Lamp Shade for Mihira by Ogilvy Bangalore,"Mihira - ""Lamp Shade""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657306/lamp-post/mihira,"Mihira - ""Lamp Post""",Print Lamp Post for Mihira by Ogilvy Bangalore,"Mihira - ""Lamp Post""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657308/side-lamp/mihira,"Mihira - ""Side Lamp""",Print Side Lamp for Mihira by Ogilvy Bangalore,"Mihira - ""Side Lamp""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657387/harry-potter-magic-cup/odel-books,"Odel Books - ""Harry Potter Magic Cup""",POP Display Harry Potter Magic Cup for Odel Books by Leo Burnett Solutions Inc.,"Odel Books - ""Harry Potter Magic Cup""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657439/the-world-of-dyslexia/paediatrician-dr-mehul-doshi,"Paediatrician Dr Mehul Doshi - ""The World of Dyslexia""",Direct Mail The World of Dyslexia for Paediatrician Dr Mehul Doshi by Rediffusion-DY&R Ltd,"Paediatrician Dr Mehul Doshi - ""The World of Dyslexia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657441/cinderella/asian-paints,"Asian Paints - ""Cinderella""",Direct Marketing Cinderella for Asian Paints by Ogilvy India,"Asian Paints - ""Cinderella""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657443/help-me-read-this/children-of-the-world,"Children of the World - ""Help Me Read This""",Direct Marketing Help Me Read This for Children of the World by J. Walter Thompson Delhi,"Children of the World - ""Help Me Read This""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12657691/hcl-networking-ad/hcl,"HCL - ""HCL Networking ad""",Magazine HCL Networking ad for HCL by Akriti Advertising & Communication,"HCL - ""HCL Networking ad""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12659699/luxury-skin-deep-1/podeam,"Podeam - ""Luxury Skin Deep 1""",Print Luxury Skin Deep 1 for Podeam,"Podeam - ""Luxury Skin Deep 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12659701/luxury-skin-deep-2/podeam,"Podeam - ""Luxury Skin Deep 2""",Print Luxury Skin Deep 2 for Podeam,"Podeam - ""Luxury Skin Deep 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12659702/luxury-skin-deep-3/podeam,"Podeam - ""Luxury Skin Deep 3""",Print Luxury Skin Deep 3 for Podeam,"Podeam - ""Luxury Skin Deep 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12659703/luxury-skin-deep-4/podeam,"Podeam - ""Luxury Skin Deep 4""",Print Luxury Skin Deep 4 for Podeam,"Podeam - ""Luxury Skin Deep 4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12659993/bathtub/netflix,"Netflix - ""Bathtub""","Web Film Bathtub for Netflix by Decon - Hosted by Netflix, the grueling movie watching marathon will begin on October 2 in New York's Times Square and is e...","Netflix - ""Bathtub""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
