,Title 1,Meta Description 1,H1-1
15,"Nike - ""Sports Happen""",Magazine Sports Happen for Nike by J. Walter Thompson Taipei,"Nike - ""Sports Happen"""
16,"Svenska Spel - ""Ian Wright""",Television Ian Wright for Svenska Spel by Fältman & Malmén + Draftfcb,"Svenska Spel - ""Ian Wright"""
17,"Breakaway - ""(No Title Provided)""",Print (No Title Provided) for Breakaway by TDA_Boulder,"Breakaway - ""(No Title Provided)"""
18,"Cloetta Sportlunch - ""Isprinsessan""",Television Isprinsessan for Cloetta Sportlunch by Nord DDB OSL,"Cloetta Sportlunch - ""Isprinsessan"""
19,"HBO - ""Boxing""",Television Boxing for HBO,"HBO - ""Boxing"""
20,"Air France - ""Little Plane 1""","Outdoor/Out of Home Little Plane 1 for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns...","Air France - ""Little Plane 1"""
21,"Air France - ""Little Plane 2""","Outdoor/Out of Home Little Plane 2 for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns...","Air France - ""Little Plane 2"""
22,"Air France - ""Little Plane 3""","Outdoor/Out of Home Little Plane 3 for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns...","Air France - ""Little Plane 3"""
23,"adidas - ""The Cicadas""",Television The Cicadas for adidas by Leagas Delaney Paris Centre,"adidas - ""The Cicadas"""
24,"adidas - ""Victory""",Television Victory for adidas by Leagas Delaney Paris Centre,"adidas - ""Victory"""
25,"Nike - ""Mountain Climbing, X-treme Sports, Snow Surfer""","Print Mountain Climbing, X-treme Sports, Snow Surfer for Nike by Dentsu Singapore","Nike - ""Mountain Climbing, X-treme Sports, Snow Surfer"""
26,"Audi - ""The New Audi TT Roadster""",Digital The New Audi TT Roadster for Audi by DoubleYou - The objective of the minisite is to present the new sports car of the German brand. This website w...,"Audi - ""The New Audi TT Roadster"""
27,"Kid's Foot Locker - ""Halloween Promo""","Direct Marketing Halloween Promo for Kid's Foot Locker by Guarino Woodman, Inc. - 3 dimensional direct mail piece with a miniature hockey mask and brochure...","Kid's Foot Locker - ""Halloween Promo"""
28,"SCA Hygiene Products - ""Radical Sports""",Television Radical Sports for SCA Hygiene Products by Forsman & Bodenfors,"SCA Hygiene Products - ""Radical Sports"""
29,"D + - ""Sport""","Television Sport for D + by Di Pace, Concato & Partners","D + - ""Sport"""
30,"Volkswagen - ""Sports""",Magazine Sports for Volkswagen by DDB Berlin,"Volkswagen - ""Sports"""
31,"Storm - ""Ball""",Print Ball for Storm by Havas Worldwide Buenos Aires,"Storm - ""Ball"""
32,"Chicago White Sox - ""First Date""","Television First Date for Chicago White Sox by Hoffman York, Inc.","Chicago White Sox - ""First Date"""
33,"AMF Pension - ""Sports Fan""",Television Sports Fan for AMF Pension by Forsman & Bodenfors - The future - a pretty good reason for a pension plan,"AMF Pension - ""Sports Fan"""
34,"Canal + - ""Football""",Print Football for Canal + by BETC Paris,"Canal + - ""Football"""
35,"Air France - ""Little Plane 3 (French)""","Print Little Plane 3 (French) for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns: a “...","Air France - ""Little Plane 3 (French)"""
36,"Soweto Rugby Club - ""Practice""",Television Practice for Soweto Rugby Club by Ireland | Davenport - Supporters wanted,"Soweto Rugby Club - ""Practice"""
37,"Nike Asia - ""Anthem: Fast Forward""",Television Anthem: Fast Forward for Nike Asia by Wieden + Kennedy,"Nike Asia - ""Anthem: Fast Forward"""
38,"Human rights protection - ""Beijing 2008""","Television Beijing 2008 for Human rights protection by MUW / Saatchi & Saatchi - Our campaign ""China is getting ready, Beijing 2008"" for Amnesty Internatio...","Human rights protection - ""Beijing 2008"""
39,"Coke - ""1951 vs 2008""",Television 1951 vs 2008 for Coke by Wieden + Kennedy - The Coke Side of Life,"Coke - ""1951 vs 2008"""
40,"ESPN - ""Fashion Faux Pas""",Television Fashion Faux Pas for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Fashion Faux Pas"""
41,"Sports Museum of America - ""Jackie Robinson""",Outdoor/Out of Home Jackie Robinson for Sports Museum of America by The Gate Worldwide,"Sports Museum of America - ""Jackie Robinson"""
42,"Sports Museum of America - ""Fans""",Outdoor/Out of Home Fans for Sports Museum of America by The Gate Worldwide,"Sports Museum of America - ""Fans"""
43,"CNOSF - ""Higher (French)""",Television & Cinema Higher (French) for CNOSF by Saatchi & Saatchi Duke - Support the French Olympic Team,"CNOSF - ""Higher (French)"""
44,"CNOSF - ""Higher""",Television & Cinema Higher for CNOSF by Saatchi & Saatchi Duke - Support the French Olympic Team,"CNOSF - ""Higher"""
45,"Nashua Mobile - ""Josh Tyler""",Television Josh Tyler for Nashua Mobile by Ireland | Davenport - Fight Internet Lessness,"Nashua Mobile - ""Josh Tyler"""
46,"Gatorade - ""League of Clutch (30 sec)""",Television League of Clutch (30 sec) for Gatorade by Element 79 - is it in you?,"Gatorade - ""League of Clutch (30 sec)"""
47,"Canal + - ""Basket""",Print Basket for Canal + by BETC Paris,"Canal + - ""Basket"""
48,"Canal + - ""Boxe""",Print Boxe for Canal + by BETC Paris,"Canal + - ""Boxe"""
49,"Canal + - ""Football""",Print Football for Canal + by BETC Paris,"Canal + - ""Football"""
50,"Canal + - ""Golf""",Print Golf for Canal + by BETC Paris,"Canal + - ""Golf"""
51,"Canal + - ""Rugby""",Print Rugby for Canal + by BETC Paris,"Canal + - ""Rugby"""
52,"Dodge - ""The Rematch""",Television The Rematch for Dodge by BBDO Detroit - GRAB LIFE,"Dodge - ""The Rematch"""
53,"NBA - ""Believe""",Television Believe for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Believe"""
54,"NBA - ""Dream""",Television Dream for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Dream"""
55,"NBA - ""Fear""",Television Fear for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Fear"""
56,"NBA - ""Remembered""",Television Remembered for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Remembered"""
57,"NBA - ""Work""",Television Work for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Work"""
58,"NBA - ""Dirk/Duncan""",Print Dirk/Duncan for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Dirk/Duncan"""
59,"NBA - ""Kobe/Shaq""",Print Kobe/Shaq for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Kobe/Shaq"""
60,"NBA - ""Lebron/Garnett""",Print Lebron/Garnett for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Lebron/Garnett"""
61,"NBA - ""McGrady/Hamilton""",Print McGrady/Hamilton for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""McGrady/Hamilton"""
62,"Dell - ""Faces""",Television Faces for Dell by Mother - Yours Is Here,"Dell - ""Faces"""
63,"Hackensack University Medical Center - ""Catch""","Television Catch for Hackensack University Medical Center by Della Femina Rothschild Jeary & Partners - When You Feel Good, We Feel Good.","Hackensack University Medical Center - ""Catch"""
64,"Canalsat - ""Cock & Ball TV""",Television Cock & Ball TV for Canalsat by BETC Paris,"Canalsat - ""Cock & Ball TV"""
65,"Nike Cricket - ""Traffic""",Television Traffic for Nike Cricket by  Wunderman Thompson South Asia,"Nike Cricket - ""Traffic"""
66,"Axe - ""Ping Pong""",Television Ping Pong for Axe by ZiG Inc. - Get Laid Back,"Axe - ""Ping Pong"""
67,"Axe - ""Lotion""",Television Lotion for Axe by ZiG Inc. - Get Laid Back,"Axe - ""Lotion"""
68,"Glaceau Vitamin Water - ""Another Court""",Television Another Court for Glaceau Vitamin Water by Berlin Cameron  - try it,"Glaceau Vitamin Water - ""Another Court"""
69,"Hackensack University Medical Center - ""Catch""","Print Catch for Hackensack University Medical Center by Della Femina Rothschild Jeary & Partners - When You Feel Good, We Feel Good.","Hackensack University Medical Center - ""Catch"""
70,"Kellogg's - ""Afternoon Snack""",Television Afternoon Snack for Kellogg's by Leo Burnett Chicago - frostedflakes.com,"Kellogg's - ""Afternoon Snack"""
71,"Toshiba - ""Beetle""",Television Beetle for Toshiba by Y&R Israel,"Toshiba - ""Beetle"""
72,"Oakland A's - ""The Jones""","Television & Cinema The Jones for Oakland A's by Eleven, Inc. - 100% Baseball","Oakland A's - ""The Jones"""
73,"Neurovision - ""Brain""",Magazine Brain for Neurovision by Hakuhodo France - Treat your brain to better vision,"Neurovision - ""Brain"""
74,"Aquafina - ""Piniella (30 sec)""",Television Piniella (30 sec) for Aquafina by BBDO New York,"Aquafina - ""Piniella (30 sec)"""
75,"at&t - ""Meteorite""",Television Meteorite for at&t by BBDO New York - att.com/advancedtv,"at&t - ""Meteorite"""
76,"Midway - ""Howard vs Howard""",Television Howard vs Howard for Midway by Ayzenberg Group,"Midway - ""Howard vs Howard"""
77,"BNP Paribas - ""Join""",Television Join for BNP Paribas by Publicis Conseil - Le film met en scène un terrain de   tennis sur lequel se déroule un match professionnel devant des t...,"BNP Paribas - ""Join"""
78,"Buick - ""Tiger Art (Rivera)""",Television Tiger Art (Rivera) for Buick by Leo Burnett Chicago - Drive Beautifully,"Buick - ""Tiger Art (Rivera)"""
79,"Signia - ""Playstation""",Television & Cinema Playstation for Signia by McCann Buenos Aires,"Signia - ""Playstation"""
80,"Crocs - ""Don King""",Television Don King for Crocs by Zimmerman Advertising - What A Croc!,"Crocs - ""Don King"""
81,"Canon - ""Journey (30 sec)""",Television Journey (30 sec) for Canon by Grey New York - imageANYWARE,"Canon - ""Journey (30 sec)"""
82,"HBO - ""HBO Black History Month""",Case Study HBO Black History Month for HBO by EarthQuake Media - The goal was to drive programming awareness for HBO during Black History Month while acqui...,"HBO - ""HBO Black History Month"""
83,"PartyPoker.net - ""PartyPoker.net Custom TV Vignette""",Case Study PartyPoker.net Custom TV Vignette for PartyPoker.net by EarthQuake Media - Create customized poker content that successfully exposes the PartyPo...,"PartyPoker.net - ""PartyPoker.net Custom TV Vignette"""
84,"PING GOLF - ""G10 IRON""",Television & Cinema G10 IRON for PING GOLF by The Martin Agency - Play Your Best,"PING GOLF - ""G10 IRON"""
85,"PING GOLF - ""iSeries Putter""",Television & Cinema iSeries Putter for PING GOLF by The Martin Agency,"PING GOLF - ""iSeries Putter"""
86,"Neo Sports - ""Gas""",Television & Cinema Gas for Neo Sports by Ogilvy India - Get used to tension. India vs Pakistan,"Neo Sports - ""Gas"""
87,"FCB Showtime - ""FCB Showtime Logo""","Logotype FCB Showtime Logo for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application...","FCB Showtime - ""FCB Showtime Logo"""
88,"FCB Showtime - ""Gamper Day Images""","Events Gamper Day Images for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application e...","FCB Showtime - ""Gamper Day Images"""
89,"FCB Showtime - ""Promotional Poster""","Poster Promotional Poster for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application...","FCB Showtime - ""Promotional Poster"""
90,"FCB Showtime - ""Cut-Out Figure""","Other Collateral Cut-Out Figure for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This applic...","FCB Showtime - ""Cut-Out Figure"""
91,"FCB Showtime - ""Showtime Product Advertisment""","Print Showtime Product Advertisment for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This ap...","FCB Showtime - ""Showtime Product Advertisment"""
92,"FCB Showtime - ""Showtime Screensave""","Digital Showtime Screensave for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This applicatio...","FCB Showtime - ""Showtime Screensave"""
93,"FCB Showtime - ""Sample of Showtime Products""","Other Collateral Sample of Showtime Products for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service...","FCB Showtime - ""Sample of Showtime Products"""
94,"FCB Showtime - ""Sticker""","Other Collateral Sticker for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application e...","FCB Showtime - ""Sticker"""
95,"FCB Showtime - ""Web Platform Images""","Other Collateral Web Platform Images for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This a...","FCB Showtime - ""Web Platform Images"""
96,"FCB Showtime - ""Online Banners""","Web Advertising/Banners Online Banners for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This...","FCB Showtime - ""Online Banners"""
97,"FCB Showtime - ""Exes and Os""","Print Exes and Os for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application enables...","FCB Showtime - ""Exes and Os"""
98,"Mammut - ""Mary Woodbridge""",Case Study Mary Woodbridge for Mammut by Leo Burnett Schweiz,"Mammut - ""Mary Woodbridge"""
99,"Audi - ""History""",Television History for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the Porsche 911...,"Audi - ""History"""
100,"Audi - ""The Audi R8 Pre Launch 1""",Print The Audi R8 Pre Launch 1 for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the...,"Audi - ""The Audi R8 Pre Launch 1"""
101,"IRO Cycle - ""IRO Cycle Website""","Web Site IRO Cycle Website for IRO Cycle by woods witt dealy and sons, inc. - IRO Cycle is a manufacturer of high quality yet affordable fixed gear bikest...","IRO Cycle - ""IRO Cycle Website"""
102,"Nike Football - ""Los 5 Magnificos""",Web Advertising/Banners Los 5 Magnificos for Nike Football by VillarRosàs - Take it to the next level,"Nike Football - ""Los 5 Magnificos"""
103,"NBA - ""Rivalries""",Television Rivalries for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Rivalries"""
104,"Puma Borussia - ""Palermo 180""",Case Study Palermo 180 for Puma Borussia by DDB Argentina,"Puma Borussia - ""Palermo 180"""
105,"Nike Golf - ""Never""",Television Never for Nike Golf by Wieden + Kennedy - Earl Woods' advice goes beyond how to simply raise a child who performs well in sports. His wisdom is...,"Nike Golf - ""Never"""
106,"Visa - ""Come Together""",Television Come Together for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Come Together"""
107,"ESPN - ""Eyeballs""",Case Study Eyeballs for ESPN by Saatchi & Saatchi,"ESPN - ""Eyeballs"""
108,"McDonald's - ""Victory""",Television & Cinema Victory for McDonald's by DDB Chicago - i'm lovin' it,"McDonald's - ""Victory"""
109,"Playground - ""Hatch An Egg""",Case Study Hatch An Egg for Playground by Åkestam Holst,"Playground - ""Hatch An Egg"""
110,"Reebok - ""Run Easy""",Case Study Run Easy for Reebok by Carat Fusion,"Reebok - ""Run Easy"""
111,"Nike - ""Ken Griffey, Jr.""","Print Ken Griffey, Jr. for Nike by Wieden + Kennedy","Nike - ""Ken Griffey, Jr."""
112,"ESPN - ""More Hips""",Television More Hips for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""More Hips"""
113,"ESPN - ""Nicknames""",Television Nicknames for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Nicknames"""
114,"Sam Houston Race Park - ""Urinal""",Television Urinal for Sam Houston Race Park by Peter Mayer - Let's Make Thngs Interesting,"Sam Houston Race Park - ""Urinal"""
115,"Geico Power Sports - ""MMA Fighter""",Television MMA Fighter for Geico Power Sports by The Martin Agency,"Geico Power Sports - ""MMA Fighter"""
116,"NBA - ""Lebron/Garnett""",Television Lebron/Garnett for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Lebron/Garnett"""
117,"Nike - ""Power, Parachutes and Performance""","Television Power, Parachutes and Performance for Nike by Wieden + Kennedy - JUST DO IT","Nike - ""Power, Parachutes and Performance"""
118,"Emporio Armani - ""Macy's Billboard""",Billboard Macy's Billboard for Emporio Armani,"Emporio Armani - ""Macy's Billboard"""
119,"Sam Houston Race Park - ""Shrimp Cocktail""",Television Shrimp Cocktail for Sam Houston Race Park by Peter Mayer - Let's Make Thngs Interesting,"Sam Houston Race Park - ""Shrimp Cocktail"""
120,"GMC - ""All-Star Break""",Television All-Star Break for GMC by Leo Burnett Chicago - We Are Professional Grade,"GMC - ""All-Star Break"""
121,"Sport Club Internacional - """"",Print  for Sport Club Internacional by e21,"Sport Club Internacional - """""
122,"Mountain Dew - ""Gorilla / Boom""",Television Gorilla / Boom for Mountain Dew by BBDO New York - amp yourself,"Mountain Dew - ""Gorilla / Boom"""
123,"U.S. Soccer - ""Starts (30 sec)""",Television Starts (30 sec) for U.S. Soccer by Element 79,"U.S. Soccer - ""Starts (30 sec)"""
124,"Fox Sports - ""Rafters""",Television Rafters for Fox Sports,"Fox Sports - ""Rafters"""
125,"Hanes - ""Valet""",Television Valet for Hanes by The Martin Agency - Look Who We've Got Our Hanes On Now,"Hanes - ""Valet"""
126,"Kellogg's - ""Stripes""",Television Stripes for Kellogg's by Leo Burnett Chicago - Earn Your Stripes,"Kellogg's - ""Stripes"""
127,"Nike - ""Track Town USA""",Television Track Town USA for Nike by Wieden + Kennedy - NIKETRACKTOWN.COM,"Nike - ""Track Town USA"""
128,"GMC - ""Fire In Your Eyes""",Television Fire In Your Eyes for GMC by Leo Burnett Chicago - We Are Professional Grade.,"GMC - ""Fire In Your Eyes"""
129,"Carlton Draught - ""Skytroop""","Television & Cinema Skytroop for Carlton Draught by Clemenger BBDO Melbourne - Miles above a sports stadium, a massive cargo plane jettisons a 50-foot-high...","Carlton Draught - ""Skytroop"""
130,"Nike Football - ""Next Season""",Television Next Season for Nike Football by 72andSunny - Take it to the next level,"Nike Football - ""Next Season"""
131,"BlackBerry - ""Soccer Morph""",Television Soccer Morph for BlackBerry,"BlackBerry - ""Soccer Morph"""
132,"Visa - ""Michael Phelps""",Television Michael Phelps for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Michael Phelps"""
133,"MBT - ""The Antishoe""",Print The Antishoe for MBT by Kastner & Partners - The anti-shoe.,"MBT - ""The Antishoe"""
134,"Nike+ - ""Revolution""",Television Revolution for Nike+ by Wieden + Kennedy - Join The Run Revolution.,"Nike+ - ""Revolution"""
135,"ESPN - ""The Stadium is Ready""",Television The Stadium is Ready for ESPN by DCODE,"ESPN - ""The Stadium is Ready"""
136,"hawkeye Sports & Entertainment - ""hSE Web Site""",Web Site hSE Web Site for hawkeye Sports & Entertainment by hawkeye,"hawkeye Sports & Entertainment - ""hSE Web Site"""
137,"Red Bull Energy Drink - ""Chute""",Television Chute for Red Bull Energy Drink by Kastner & Partners,"Red Bull Energy Drink - ""Chute"""
138,"International Childrens Games - ""Ping Pong""",Print Ping Pong for International Childrens Games by Grey Worldwide San Francisco,"International Childrens Games - ""Ping Pong"""
139,"MBT - ""Opium""",Print Opium for MBT by Kastner & Partners - The anti-shoe.,"MBT - ""Opium"""
140,"MBT - ""Weapons""",Print Weapons for MBT by Kastner & Partners - The anti-shoe.,"MBT - ""Weapons"""
141,"MBT - ""We Shall Fight""",Print We Shall Fight for MBT by Kastner & Partners - The anti-shoe.,"MBT - ""We Shall Fight"""
142,"U.S. Soccer - ""Starts (15 sec)""",Television Starts (15 sec) for U.S. Soccer by Element 79,"U.S. Soccer - ""Starts (15 sec)"""
143,"Coke - ""Unity""",Television Unity for Coke by Wieden + Kennedy - Live Olympic on the Coke side of life,"Coke - ""Unity"""
144,"Gatorade - ""Peyton""",Print Peyton for Gatorade by Element 79 - is it in you?,"Gatorade - ""Peyton"""
145,"Gatorade - ""League of Clutch""",Print League of Clutch for Gatorade by Element 79 - is it in you?,"Gatorade - ""League of Clutch"""
146,"EA Sports - ""Christian""",Television Christian for EA Sports by Wieden + Kennedy - It's in the game.,"EA Sports - ""Christian"""
147,"EA Sports - ""Heath & Lance""",Television Heath & Lance for EA Sports by Wieden + Kennedy - It's in the game.,"EA Sports - ""Heath & Lance"""
148,"Audi - ""The Audi R8 Pre Launch 2""",Print The Audi R8 Pre Launch 2 for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the...,"Audi - ""The Audi R8 Pre Launch 2"""
149,"Audi - ""The Audi R8 Pre Launch 3""",Print The Audi R8 Pre Launch 3 for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the...,"Audi - ""The Audi R8 Pre Launch 3"""
150,"Audi - ""The Audi R8 Pre Launch 4""",Print The Audi R8 Pre Launch 4 for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the...,"Audi - ""The Audi R8 Pre Launch 4"""
151,"Audi - ""The Audi R8 Pre Launch 5""",Print The Audi R8 Pre Launch 5 for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the...,"Audi - ""The Audi R8 Pre Launch 5"""
152,"Audi - ""The Audi R8 Pre Launch 6""",Print The Audi R8 Pre Launch 6 for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominated by the...,"Audi - ""The Audi R8 Pre Launch 6"""
153,"Audi - ""The Audi R8 Pre Launch website""",Web Site The Audi R8 Pre Launch website for Audi by thjnk - SUMMARY: The R8 was Audis first entry into the high-end sports car market. In a market dominat...,"Audi - ""The Audi R8 Pre Launch website"""
154,"Sports Authority - ""N/A""",Print N/A for Sports Authority by Cole & Weber ,"Sports Authority - ""N/A"""
155,"Sports Authority - ""N/A""",Print N/A for Sports Authority by Cole & Weber ,"Sports Authority - ""N/A"""
156,"Giro - ""N/A""",Print N/A for Giro by Crispin Porter + Bogusky,"Giro - ""N/A"""
157,"USTA - ""N/A""",Print N/A for USTA by Hill Holliday,"USTA - ""N/A"""
158,"ESPN - ""N/A""",Print N/A for ESPN by Wieden + Kennedy,"ESPN - ""N/A"""
159,"Sports Illustrated - ""N/A""",Print N/A for Sports Illustrated,"Sports Illustrated - ""N/A"""
160,"Kajeet - ""N/A""",Print N/A for Kajeet,"Kajeet - ""N/A"""
161,"Holiday Inn Express - ""Jeff Burton""","Television Jeff Burton for Holiday Inn Express by Fallon - The more you stay, the more you earn.","Holiday Inn Express - ""Jeff Burton"""
162,"Subaru - ""Stunts""",Television Stunts for Subaru by Carmichael Lynch - fraternityofsti.com,"Subaru - ""Stunts"""
163,"ESPN - ""Slumps""",Television Slumps for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Slumps"""
164,"Gillette - ""Chairs""",Television Chairs for Gillette by BBDO New York - The Best A Man Can Get,"Gillette - ""Chairs"""
165,"Nike - ""Bottled Courage (60 sec)""",Television Bottled Courage (60 sec) for Nike by Wieden + Kennedy - Just Do It,"Nike - ""Bottled Courage (60 sec)"""
166,"Nike - ""Bottled Courage (30 sec)""",Television Bottled Courage (30 sec) for Nike by Wieden + Kennedy - Just Do It,"Nike - ""Bottled Courage (30 sec)"""
167,"Visa - ""Derrick Redmond""",Television Derrick Redmond for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Derrick Redmond"""
168,"Nike - ""Home of Innovation""",Web Site Home of Innovation for Nike by AKQA,"Nike - ""Home of Innovation"""
169,"Reebok - ""Migration""",Television Migration for Reebok by mcgarrybowen - YourMove,"Reebok - ""Migration"""
170,"ESPN - ""Technical Difficulties""",Television Technical Difficulties for ESPN by Wieden + Kennedy - Swimmer Michael Phelps is having computer problems.,"ESPN - ""Technical Difficulties"""
171,"Visa - ""Kerri Strug""",Television Kerri Strug for Visa by TBWA\Chiat\Day Los Angeles - Go World,"Visa - ""Kerri Strug"""
172,"Under Armour - ""Football 08""",Television Football 08 for Under Armour,"Under Armour - ""Football 08"""
173,"Baskin Robbins - ""Soccer""",Television Soccer for Baskin Robbins by Cliff Freeman & Partners - YAY!,"Baskin Robbins - ""Soccer"""
174,"EA Sports - ""Anthem""",Television Anthem for EA Sports by Wieden + Kennedy,"EA Sports - ""Anthem"""
175,"Clorox - ""Be Spectacular""",Television Be Spectacular for Clorox by DDB San Francisco,"Clorox - ""Be Spectacular"""
176,"Dr Pepper - ""Drink it Slow""",Television Drink it Slow for Dr Pepper by Deutsch,"Dr Pepper - ""Drink it Slow"""
177,"For Goodness Shakes - ""Nutrition""",Television Nutrition for For Goodness Shakes by Arm Direct Group Ltd - Bring On Tomorrow,"For Goodness Shakes - ""Nutrition"""
178,"Gatorade - ""Analyst""",Television Analyst for Gatorade by BBDO Argentina - Nothing Works Better.,"Gatorade - ""Analyst"""
179,"Gatorade - ""Doctor""",Television Doctor for Gatorade by BBDO Argentina - Nothing Works Better.,"Gatorade - ""Doctor"""
180,"Gatorade - ""Music Teacher""",Television Music Teacher for Gatorade by BBDO Argentina - Nothing Works Better.,"Gatorade - ""Music Teacher"""
181,"SKY Sport - ""Running""",Television Running for SKY Sport by Grey United,"SKY Sport - ""Running"""
182,"adidas - ""No Sweat""",Television No Sweat for adidas - BEST DEFENSE AGAINST SWEAT,"adidas - ""No Sweat"""
183,"McDonald's - ""Your Friends, My Friends""","Television & Cinema Your Friends, My Friends for McDonald's by Leo Burnett Chicago - i'm lovin' it","McDonald's - ""Your Friends, My Friends"""
184,"Tylenol - ""Work With Your Body""",Television & Cinema Work With Your Body for Tylenol by Deutsch - Feel Better.,"Tylenol - ""Work With Your Body"""
185,"Coca-Cola - ""Shuang City""",Television Shuang City for Coca-Cola by Red Lounge,"Coca-Cola - ""Shuang City"""
