Original Url,Title 1,Meta Description 1,H1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/1129/ian-wright/svenska-spel,"Svenska Spel - ""Ian Wright""",Television Ian Wright for Svenska Spel by Fältman & Malmén + Draftfcb,"Svenska Spel - ""Ian Wright""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11950/no-title-provided/breakaway,"Breakaway - ""(No Title Provided)""",Print (No Title Provided) for Breakaway by TDA_Boulder,"Breakaway - ""(No Title Provided)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/1206/isprinsessan/cloetta-sportlunch,"Cloetta Sportlunch - ""Isprinsessan""",Television Isprinsessan for Cloetta Sportlunch by Nord DDB OSL,"Cloetta Sportlunch - ""Isprinsessan""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12114/boxing/hbo,"HBO - ""Boxing""",Television Boxing for HBO,"HBO - ""Boxing""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12149/little-plane-1/air-france,"Air France - ""Little Plane 1""","Outdoor/Out of Home Little Plane 1 for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns...","Air France - ""Little Plane 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12152/little-plane-2/air-france,"Air France - ""Little Plane 2""","Outdoor/Out of Home Little Plane 2 for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns...","Air France - ""Little Plane 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12153/little-plane-3/air-france,"Air France - ""Little Plane 3""","Outdoor/Out of Home Little Plane 3 for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns...","Air France - ""Little Plane 3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12213/the-cicadas/adidas,"adidas - ""The Cicadas""",Television The Cicadas for adidas by Leagas Delaney Paris Centre,"adidas - ""The Cicadas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12218/victory/adidas,"adidas - ""Victory""",Television Victory for adidas by Leagas Delaney Paris Centre,"adidas - ""Victory""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12258/mountain-climbing-x-treme-sports-snow-surfer/nike,"Nike - ""Mountain Climbing, X-treme Sports, Snow Surfer""","Print Mountain Climbing, X-treme Sports, Snow Surfer for Nike by Dentsu Singapore","Nike - ""Mountain Climbing, X-treme Sports, Snow Surfer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12305/the-new-audi-tt-roadster/audi,"Audi - ""The New Audi TT Roadster""",Digital The New Audi TT Roadster for Audi by DoubleYou - The objective of the minisite is to present the new sports car of the German brand. This website w...,"Audi - ""The New Audi TT Roadster""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12489/halloween-promo/kids-foot-locker,"Kid's Foot Locker - ""Halloween Promo""","Direct Marketing Halloween Promo for Kid's Foot Locker by Guarino Woodman, Inc. - 3 dimensional direct mail piece with a miniature hockey mask and brochure...","Kid's Foot Locker - ""Halloween Promo""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/1260/radical-sports/sca-hygiene-products,"SCA Hygiene Products - ""Radical Sports""",Television Radical Sports for SCA Hygiene Products by Forsman & Bodenfors,"SCA Hygiene Products - ""Radical Sports""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/1265/sport/d,"D + - ""Sport""","Television Sport for D + by Di Pace, Concato & Partners","D + - ""Sport""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12651784/sports/volkswagen,"Volkswagen - ""Sports""",Magazine Sports for Volkswagen by DDB Berlin,"Volkswagen - ""Sports""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12651796/ball/storm,"Storm - ""Ball""",Print Ball for Storm by Havas Worldwide Buenos Aires,"Storm - ""Ball""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652031/first-date/chicago-white-sox,"Chicago White Sox - ""First Date""","Television First Date for Chicago White Sox by Hoffman York, Inc.","Chicago White Sox - ""First Date""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652043/sports-fan/amf-pension,"AMF Pension - ""Sports Fan""",Television Sports Fan for AMF Pension by Forsman & Bodenfors - The future - a pretty good reason for a pension plan,"AMF Pension - ""Sports Fan""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652079/football/canal,"Canal + - ""Football""",Print Football for Canal + by BETC Paris,"Canal + - ""Football""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652082/little-plane-3-french/air-france,"Air France - ""Little Plane 3 (French)""","Print Little Plane 3 (French) for Air France by BETC Paris - Creative Strategy:
Announce the company’s new positioning in two complementary campaigns: a “...","Air France - ""Little Plane 3 (French)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652111/practice/soweto-rugby-club,"Soweto Rugby Club - ""Practice""",Television Practice for Soweto Rugby Club by Ireland | Davenport - Supporters wanted,"Soweto Rugby Club - ""Practice""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652159/anthem-fast-forward/nike-asia,"Nike Asia - ""Anthem: Fast Forward""",Television Anthem: Fast Forward for Nike Asia by Wieden + Kennedy,"Nike Asia - ""Anthem: Fast Forward""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652352/beijing-2008/human-rights-protection,"Human rights protection - ""Beijing 2008""","Television Beijing 2008 for Human rights protection by MUW / Saatchi & Saatchi - Our campaign ""China is getting ready, Beijing 2008"" for Amnesty Internatio...","Human rights protection - ""Beijing 2008""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652369/1951-vs-2008/coke,"Coke - ""1951 vs 2008""",Television 1951 vs 2008 for Coke by Wieden + Kennedy - The Coke Side of Life,"Coke - ""1951 vs 2008""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652390/fashion-faux-pas/espn,"ESPN - ""Fashion Faux Pas""",Television Fashion Faux Pas for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Fashion Faux Pas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652513/jackie-robinson/sports-museum-of-america,"Sports Museum of America - ""Jackie Robinson""",Outdoor/Out of Home Jackie Robinson for Sports Museum of America by The Gate Worldwide,"Sports Museum of America - ""Jackie Robinson""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652514/fans/sports-museum-of-america,"Sports Museum of America - ""Fans""",Outdoor/Out of Home Fans for Sports Museum of America by The Gate Worldwide,"Sports Museum of America - ""Fans""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652573/higher-french/cnosf,"CNOSF - ""Higher (French)""",Television & Cinema Higher (French) for CNOSF by Saatchi & Saatchi Duke - Support the French Olympic Team,"CNOSF - ""Higher (French)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652575/higher/cnosf,"CNOSF - ""Higher""",Television & Cinema Higher for CNOSF by Saatchi & Saatchi Duke - Support the French Olympic Team,"CNOSF - ""Higher""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652576/josh-tyler/nashua-mobile,"Nashua Mobile - ""Josh Tyler""",Television Josh Tyler for Nashua Mobile by Ireland | Davenport - Fight Internet Lessness,"Nashua Mobile - ""Josh Tyler""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652654/league-of-clutch-30-sec/gatorade,"Gatorade - ""League of Clutch (30 sec)""",Television League of Clutch (30 sec) for Gatorade by Element 79 - is it in you?,"Gatorade - ""League of Clutch (30 sec)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652658/basket/canal,"Canal + - ""Basket""",Print Basket for Canal + by BETC Paris,"Canal + - ""Basket""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652659/boxe/canal,"Canal + - ""Boxe""",Print Boxe for Canal + by BETC Paris,"Canal + - ""Boxe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652661/football/canal,"Canal + - ""Football""",Print Football for Canal + by BETC Paris,"Canal + - ""Football""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652662/golf/canal,"Canal + - ""Golf""",Print Golf for Canal + by BETC Paris,"Canal + - ""Golf""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652663/rugby/canal,"Canal + - ""Rugby""",Print Rugby for Canal + by BETC Paris,"Canal + - ""Rugby""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652832/the-rematch/dodge,"Dodge - ""The Rematch""",Television The Rematch for Dodge by BBDO Detroit - GRAB LIFE,"Dodge - ""The Rematch""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652834/believe/nba,"NBA - ""Believe""",Television Believe for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Believe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652835/dream/nba,"NBA - ""Dream""",Television Dream for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Dream""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652836/fear/nba,"NBA - ""Fear""",Television Fear for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Fear""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652837/remembered/nba,"NBA - ""Remembered""",Television Remembered for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Remembered""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652838/work/nba,"NBA - ""Work""",Television Work for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Work""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652840/dirk-duncan/nba,"NBA - ""Dirk/Duncan""",Print Dirk/Duncan for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Dirk/Duncan""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652842/kobe-shaq/nba,"NBA - ""Kobe/Shaq""",Print Kobe/Shaq for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Kobe/Shaq""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652843/lebron-garnett/nba,"NBA - ""Lebron/Garnett""",Print Lebron/Garnett for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Lebron/Garnett""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652844/mcgrady-hamilton/nba,"NBA - ""McGrady/Hamilton""",Print McGrady/Hamilton for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""McGrady/Hamilton""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652849/faces/dell,"Dell - ""Faces""",Television Faces for Dell by Mother - Yours Is Here,"Dell - ""Faces""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652945/catch/hackensack-university-medical-center,"Hackensack University Medical Center - ""Catch""","Television Catch for Hackensack University Medical Center by Della Femina Rothschild Jeary & Partners - When You Feel Good, We Feel Good.","Hackensack University Medical Center - ""Catch""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12652985/cock-ball-tv/canalsat,"Canalsat - ""Cock & Ball TV""",Television Cock & Ball TV for Canalsat by BETC Paris,"Canalsat - ""Cock & Ball TV""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653007/traffic/nike-cricket,"Nike Cricket - ""Traffic""",Television Traffic for Nike Cricket by  Wunderman Thompson South Asia,"Nike Cricket - ""Traffic""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653088/ping-pong/axe,"Axe - ""Ping Pong""",Television Ping Pong for Axe by ZiG Inc. - Get Laid Back,"Axe - ""Ping Pong""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653089/lotion/axe,"Axe - ""Lotion""",Television Lotion for Axe by ZiG Inc. - Get Laid Back,"Axe - ""Lotion""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653116/another-court/glaceau-vitamin-water,"Glaceau Vitamin Water - ""Another Court""",Television Another Court for Glaceau Vitamin Water by Berlin Cameron  - try it,"Glaceau Vitamin Water - ""Another Court""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653181/catch/hackensack-university-medical-center,"Hackensack University Medical Center - ""Catch""","Print Catch for Hackensack University Medical Center by Della Femina Rothschild Jeary & Partners - When You Feel Good, We Feel Good.","Hackensack University Medical Center - ""Catch""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653231/afternoon-snack/kelloggs,"Kellogg's - ""Afternoon Snack""",Television Afternoon Snack for Kellogg's by Leo Burnett Chicago - frostedflakes.com,"Kellogg's - ""Afternoon Snack""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653258/beetle/toshiba,"Toshiba - ""Beetle""",Television Beetle for Toshiba by Y&R Israel,"Toshiba - ""Beetle""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653298/the-jones/oakland-as,"Oakland A's - ""The Jones""","Television & Cinema The Jones for Oakland A's by Eleven, Inc. - 100% Baseball","Oakland A's - ""The Jones""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653411/brain/neurovision,"Neurovision - ""Brain""",Magazine Brain for Neurovision by Hakuhodo France - Treat your brain to better vision,"Neurovision - ""Brain""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653419/piniella-30-sec/aquafina,"Aquafina - ""Piniella (30 sec)""",Television Piniella (30 sec) for Aquafina by BBDO New York,"Aquafina - ""Piniella (30 sec)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653425/meteorite/att,"at&t - ""Meteorite""",Television Meteorite for at&t by BBDO New York - att.com/advancedtv,"at&t - ""Meteorite""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653461/howard-vs-howard/midway,"Midway - ""Howard vs Howard""",Television Howard vs Howard for Midway by Ayzenberg Group,"Midway - ""Howard vs Howard""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653499/join/bnp-paribas,"BNP Paribas - ""Join""",Television Join for BNP Paribas by Publicis Conseil - Le film met en scène un terrain de   tennis sur lequel se déroule un match professionnel devant des t...,"BNP Paribas - ""Join""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653609/tiger-art-rivera/buick,"Buick - ""Tiger Art (Rivera)""",Television Tiger Art (Rivera) for Buick by Leo Burnett Chicago - Drive Beautifully,"Buick - ""Tiger Art (Rivera)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653683/playstation/signia,"Signia - ""Playstation""",Television & Cinema Playstation for Signia by McCann Buenos Aires,"Signia - ""Playstation""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653858/don-king/crocs,"Crocs - ""Don King""",Television Don King for Crocs by Zimmerman Advertising - What A Croc!,"Crocs - ""Don King""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653863/journey-30-sec/canon,"Canon - ""Journey (30 sec)""",Television Journey (30 sec) for Canon by Grey New York - imageANYWARE,"Canon - ""Journey (30 sec)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653897/hbo-black-history-month/hbo,"HBO - ""HBO Black History Month""",Case Study HBO Black History Month for HBO by EarthQuake Media - The goal was to drive programming awareness for HBO during Black History Month while acqui...,"HBO - ""HBO Black History Month""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653900/partypoker-net-custom-tv-vignette/partypoker-net,"PartyPoker.net - ""PartyPoker.net Custom TV Vignette""",Case Study PartyPoker.net Custom TV Vignette for PartyPoker.net by EarthQuake Media - Create customized poker content that successfully exposes the PartyPo...,"PartyPoker.net - ""PartyPoker.net Custom TV Vignette""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653932/g10-iron/ping-golf,"PING GOLF - ""G10 IRON""",Television & Cinema G10 IRON for PING GOLF by The Martin Agency - Play Your Best,"PING GOLF - ""G10 IRON""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653936/iseries-putter/ping-golf,"PING GOLF - ""iSeries Putter""",Television & Cinema iSeries Putter for PING GOLF by The Martin Agency,"PING GOLF - ""iSeries Putter""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12653964/gas/neo-sports,"Neo Sports - ""Gas""",Television & Cinema Gas for Neo Sports by Ogilvy India - Get used to tension. India vs Pakistan,"Neo Sports - ""Gas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654007/fcb-showtime-logo/fcb-showtime,"FCB Showtime - ""FCB Showtime Logo""","Logotype FCB Showtime Logo for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application...","FCB Showtime - ""FCB Showtime Logo""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654015/gamper-day-images/fcb-showtime,"FCB Showtime - ""Gamper Day Images""","Events Gamper Day Images for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application e...","FCB Showtime - ""Gamper Day Images""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654016/promotional-poster/fcb-showtime,"FCB Showtime - ""Promotional Poster""","Poster Promotional Poster for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This application...","FCB Showtime - ""Promotional Poster""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654017/cut-out-figure/fcb-showtime,"FCB Showtime - ""Cut-Out Figure""","Other Collateral Cut-Out Figure for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This applic...","FCB Showtime - ""Cut-Out Figure""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654019/showtime-product-advertisment/fcb-showtime,"FCB Showtime - ""Showtime Product Advertisment""","Print Showtime Product Advertisment for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This ap...","FCB Showtime - ""Showtime Product Advertisment""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654020/showtime-screensave/fcb-showtime,"FCB Showtime - ""Showtime Screensave""","Digital Showtime Screensave for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service. This applicatio...","FCB Showtime - ""Showtime Screensave""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/12654021/sample-of-showtime-products/fcb-showtime,"FCB Showtime - ""Sample of Showtime Products""","Other Collateral Sample of Showtime Products for FCB Showtime by Herraiz Soto &Co. - 
HP created a new photograph printing service: HP Memorabilia Service...","FCB Showtime - ""Sample of Showtime Products""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
